figure,case_id,model,quantity,phase,experiment,experiment_std,prediction
9,razak2014_fig9,fluxv_old,CL,2.4340033400984433e-10,0.5518559517188066,0.14727631655102652,0.2665008142022676
9,razak2014_fig9,fluxv_old,CL,0.016492642818245664,0.5599567892582333,0.11640350174010275,0.26299830097660826
9,razak2014_fig9,fluxv_old,CL,0.03298343020791718,0.5638944636141159,0.11025488196471082,0.260189317407735
9,razak2014_fig9,fluxv_old,CL,0.04947704675497876,0.563301375885644,0.13248278469451039,0.2581372747073745
9,razak2014_fig9,fluxv_old,CL,0.06597010674648819,0.5580466833989273,0.16483726250793376,0.256905596205083
9,razak2014_fig9,fluxv_old,CL,0.08246325949725632,0.5482227788278864,0.19180057146112137,0.2565563195058961
9,razak2014_fig9,fluxv_old,CL,0.0989540005072985,0.5341113471539849,0.2052193397656034,0.2571520432689708
9,razak2014_fig9,fluxv_old,CL,0.11544715325806662,0.5161691405746665,0.2013132141276448,0.2587580289284293
9,razak2014_fig9,fluxv_old,CL,0.13194030600883475,0.4950012184301151,0.17972896158049,0.26144345134381897
9,razak2014_fig9,fluxv_old,CL,0.14843336600034418,0.4713388349322111,0.14455974658978957,0.2652827046492214
9,razak2014_fig9,fluxv_old,CL,0.16492419976964504,0.4460146508861614,0.11010446218460915,0.27038732792614956
9,razak2014_fig9,fluxv_old,CL,0.18141725976115447,0.41995231134618577,0.11133063690892109,0.2768131480636306
9,razak2014_fig9,fluxv_old,CL,0.1979104125119226,0.3941277139305656,0.16309335078769135,0.2846414796002843
9,razak2014_fig9,fluxv_old,CL,0.21440347250343203,0.3695574597374038,0.2371784727075423,0.2939471926077307
9,razak2014_fig9,fluxv_old,CL,0.23089421351347422,0.3472525161651738,0.31392777118207793,0.304788717914952
9,razak2014_fig9,fluxv_old,CL,0.24738736626424235,0.32819807643654547,0.3829798866956243,0.31720456326023927
9,razak2014_fig9,fluxv_old,CL,0.2638805190150105,0.3132939832248048,0.4374210022206432,0.3311928417204694
9,razak2014_fig9,fluxv_old,CL,0.2803735790065199,0.30332613762823585,0.47236839028844085,0.34670628570236195
9,razak2014_fig9,fluxv_old,CL,0.29686441277582076,0.29891523250349417,0.48479802178051273,0.36363837612637784
9,razak2014_fig9,fluxv_old,CL,0.3133575655265889,0.3004701336011743,0.4735765371739391,0.3818490689274855
9,razak2014_fig9,fluxv_old,CL,0.32985062551809835,0.3081632321299323,0.4394974430615036,0.40105531814392886
9,razak2014_fig9,fluxv_old,CL,0.34634368550960776,0.3218846709469972,0.3852243526279279,0.4209383915714347
9,razak2014_fig9,fluxv_old,CL,0.36283451927890864,0.34125417532739283,0.3152309867488202,0.4411086813228303
9,razak2014_fig9,fluxv_old,CL,0.37932757927041805,0.3656092221947163,0.23599412820297774,0.4611259336793152
9,razak2014_fig9,fluxv_old,CL,0.3958207320211862,0.3940209553225908,0.15770725225712193,0.4804980849744556
9,razak2014_fig9,fluxv_old,CL,0.4123138847719543,0.42536277562765173,0.10333120596282122,0.49871208982187826
9,razak2014_fig9,fluxv_old,CL,0.42880462578199646,0.4583347069204438,0.11249568599225539,0.5152534960919587
9,razak2014_fig9,fluxv_old,CL,0.4452977785327646,0.4915498731947298,0.16372122661137417,0.5296426648683004
9,razak2014_fig9,fluxv_old,CL,0.46179083852427405,0.5236139337922641,0.2170775732727759,0.5413748559021014
9,razak2014_fig9,fluxv_old,CL,0.4782839912750422,0.5532029693001665,0.2597511578546536,0.5501590288645788
9,razak2014_fig9,fluxv_old,CL,0.494774825044343,0.5791429167156961,0.2883603521545342,0.555754749188268
9,razak2014_fig9,fluxv_old,CL,0.5112678850358525,0.6004805540615794,0.30294938071450755,0.5580397035235347
9,razak2014_fig9,fluxv_old,CL,0.5277609450273619,0.6165405415947567,0.30538961770892853,0.5570132193039151
9,razak2014_fig9,fluxv_old,CL,0.54425409777813,0.6269555620993994,0.298486927238158,0.5527982245378618
9,razak2014_fig9,fluxv_old,CL,0.5607448387881722,0.6316944893850558,0.2851242142449873,0.5456321315938025
9,razak2014_fig9,fluxv_old,CL,0.5772379915389403,0.6310367549533378,0.26740763733582124,0.5358456501997181
9,razak2014_fig9,fluxv_old,CL,0.5937311442897084,0.625551080781821,0.24610844998990783,0.5238465885000015
9,razak2014_fig9,fluxv_old,CL,0.6102219780590094,0.616040269067677,0.22069342253733604,0.5100606424893094
