figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
9,razak2014_fig9,old,0.0,0.2665008142566375,0.04646873667058871,,,,
9,razak2014_fig9,old,0.0078125,0.26475568531149424,0.0462099191222253,,,,
9,razak2014_fig9,old,0.015625,0.26315846882262933,0.04593136510876382,,,,
9,razak2014_fig9,old,0.0234375,0.2617162724824697,0.04563457913604103,,,,
9,razak2014_fig9,old,0.03125,0.26043595239511896,0.045320455074394986,,,,
9,razak2014_fig9,old,0.0390625,0.25932437845915274,0.04498929138224694,,,,
9,razak2014_fig9,old,0.046875,0.2583883357579463,0.04464078145279176,,,,
9,razak2014_fig9,old,0.0546875,0.2576345389809134,0.04427401865190619,,,,
9,razak2014_fig9,old,0.0625,0.25706964987853387,0.043887507567033635,,,,
9,razak2014_fig9,old,0.0703125,0.25670030408675615,0.04347918152646203,,,,
9,razak2014_fig9,old,0.078125,0.2565331469247129,0.04304642607463758,,,,
9,razak2014_fig9,old,0.0859375,0.25657487697581016,0.042586109349933204,,,,
9,razak2014_fig9,old,0.09375,0.2568322893999063,0.042094619331437946,,,,
9,razak2014_fig9,old,0.1015625,0.25731231954182554,0.041567908326529214,,,,
9,razak2014_fig9,old,0.109375,0.2580220915517781,0.04100154374828379,,,,
9,razak2014_fig9,old,0.1171875,0.25896895677581533,0.04039076454888566,,,,
9,razak2014_fig9,old,0.125,0.2601605225177921,0.039730542881165655,,,,
9,razak2014_fig9,old,0.1328125,0.2616046780695179,0.03901565458085239,,,,
9,razak2014_fig9,old,0.140625,0.26330960340244813,0.03824075398602061,,,,
9,razak2014_fig9,old,0.1484375,0.26528374927236975,0.037400446895808855,,,,
9,razak2014_fig9,old,0.15625,0.26753581203108945,0.036489370864354956,,,,
9,razak2014_fig9,old,0.1640625,0.27007467544010755,0.035502282667674384,,,,
9,razak2014_fig9,old,0.171875,0.2729093025727216,0.034434137996076024,,,,
9,razak2014_fig9,old,0.1796875,0.27604864827814507,0.03328017632545074,,,,
9,razak2014_fig9,old,0.1875,0.27950152925516564,0.03203601093999506,,,,
9,razak2014_fig9,old,0.1953125,0.2832764414791109,0.030697707616236705,,,,
9,razak2014_fig9,old,0.203125,0.287381414326628,0.029261869939922035,,,,
9,razak2014_fig9,old,0.2109375,0.29182379774272255,0.027725717091304686,,,,
9,razak2014_fig9,old,0.21875,0.29661005105732613,0.026087154638978042,,,,
9,razak2014_fig9,old,0.2265625,0.3017455088779403,0.024344843466137342,,,,
9,razak2014_fig9,old,0.234375,0.3072341152984016,0.022498259325187443,,,,
9,razak2014_fig9,old,0.2421875,0.3130781341866669,0.020547748074843834,,,,
9,razak2014_fig9,old,0.25,0.31927785654471513,0.01849457215986848,,,,
9,razak2014_fig9,old,0.2578125,0.3258313522228485,0.016340947139780654,,,,
9,razak2014_fig9,old,0.265625,0.33273420414149746,0.01409006851703838,,,,
9,razak2014_fig9,old,0.2734375,0.33997924122719,0.01174612880710775,,,,
9,razak2014_fig9,old,0.28125,0.3475562937539676,0.009314324300247891,,,,
9,razak2014_fig9,old,0.2890625,0.35545197391366873,0.00680085110517321,,,,
9,razak2014_fig9,old,0.296875,0.36364948510412953,0.004212890502996181,,,,
9,razak2014_fig9,old,0.3046875,0.37212846575981595,0.0015585838134927364,,,,
9,razak2014_fig9,old,0.3125,0.38086487813965486,-0.0011530035892598745,,,,
9,razak2014_fig9,old,0.3203125,0.38983094579457944,-0.003911928688356507,,,,
9,razak2014_fig9,old,0.328125,0.39899514523251955,-0.006707427254202174,,,,
9,razak2014_fig9,old,0.3359375,0.408322256301277,-0.009527979806437386,,,,
9,razak2014_fig9,old,0.34375,0.41777347521327324,-0.012361386511280088,,,,
9,razak2014_fig9,old,0.3515625,0.427306592839348,-0.015194850269622218,,,,
9,razak2014_fig9,old,0.359375,0.43687624003293596,-0.018015067245781266,,,,
9,razak2014_fig9,old,0.3671875,0.4464342002324614,-0.020808323856964052,,,,
9,razak2014_fig9,old,0.375,0.45592978879339396,-0.02356059952633472,,,,
9,razak2014_fig9,old,0.3828125,0.4653102944721122,-0.02625767399400627,,,,
9,razak2014_fig9,old,0.390625,0.47452147954366747,-0.028885238169927444,,,,
9,razak2014_fig9,old,0.3984375,0.4835081304597732,-0.03142900733423205,,,,
9,razak2014_fig9,old,0.40625,0.4922146570990953,-0.03387483589313189,,,,
9,razak2014_fig9,old,0.4140625,0.5005857253261029,-0.0362088322310788,,,,
9,razak2014_fig9,old,0.421875,0.5085669178072297,-0.03841747302286489,,,,
9,razak2014_fig9,old,0.4296875,0.5161054046596026,-0.04048771516541949,,,,
9,razak2014_fig9,old,0.4375,0.5231506192433065,-0.04240710504962044,,,,
9,razak2014_fig9,old,0.4453125,0.5296549212354897,-0.04416388338476729,,,,
9,razak2014_fig9,old,0.453125,0.5355742359437968,-0.04574708519365464,,,,
9,razak2014_fig9,old,0.4609375,0.5408686584497518,-0.04714663421752092,,,,
9,razak2014_fig9,old,0.46875,0.545503006348021,-0.04835343038405934,,,,
9,razak2014_fig9,old,0.4765625,0.5494473114742497,-0.04935942957504139,,,,
9,razak2014_fig9,old,0.484375,0.5526772390333128,-0.05015771459167525,,,,
9,razak2014_fig9,old,0.4921875,0.5551744253116532,-0.050742557195388734,,,,
9,razak2014_fig9,old,0.5,0.5569267294127423,-0.05110947090191722,,,,
9,razak2014_fig9,old,0.5078125,0.5579283874973123,-0.051255253534847944,,,,
9,razak2014_fig9,old,0.515625,0.5581800689874614,-0.05117801908163978,,,,
9,razak2014_fig9,old,0.5234375,0.557688833828325,-0.05087721861827403,,,,
9,razak2014_fig9,old,0.53125,0.5564679929390463,-0.05035365055603312,,,,
9,razak2014_fig9,old,0.5390625,0.5545368738010654,-0.04960945929806722,,,,
9,razak2014_fig9,old,0.546875,0.5519204928814959,-0.048648121990756896,,,,
9,razak2014_fig9,old,0.5546875,0.5486491462523223,-0.04747442404782029,,,,
9,razak2014_fig9,old,0.5625,0.5447579280385235,-0.04609442349302859,,,,
9,razak2014_fig9,old,0.5703125,0.5402861832285631,-0.04451540412682574,,,,
9,razak2014_fig9,old,0.578125,0.5352769121764235,-0.04274581883431159,,,,
9,razak2014_fig9,old,0.5859375,0.5297761391252369,-0.04079522285901027,,,,
9,razak2014_fig9,old,0.59375,0.5238322427222636,-0.03867419532710695,,,,
9,razak2014_fig9,old,0.6015625,0.5174952684321301,-0.036394250574014235,,,,
9,razak2014_fig9,old,0.609375,0.5108162502502333,-0.03396774316896054,,,,
9,razak2014_fig9,old,0.6171875,0.5038465471163381,-0.031407767880381,,,,
